uid,tool,ip,fault_type,target,status,st_time,ed_time,filename,cmd
d188d5202c4adb51,chaosblade,10.176.122.154,svc-cpu-full,"ts-order-service-5c8b698d7b-bnvq7,ts-order-service-5c8b698d7b-mnbfr",Destroyed,2022-12-06T13:10:01.367384246+08:00,2022-12-06T13:15:30.071508506+08:00,2022-12-06T13:10:01.367384246+08:00_2022-12-06T13:15:30.071508506+08:00,"k8s pod-cpu fullload  --namespace=default --kubeconfig=/root/.kube/config --names=ts-order-service-5c8b698d7b-bnvq7,ts-order-service-5c8b698d7b-mnbfr"
7a34240c2fc24f55,chaosblade,10.176.122.154,svc-cpu-full,"ts-admin-route-service-77cd6cf987-8hh2p,ts-admin-route-service-77cd6cf987-nndq4",Destroyed,2022-12-06T13:20:01.205901645+08:00,2022-12-06T13:25:27.066678435+08:00,2022-12-06T13:20:01.205901645+08:00_2022-12-06T13:25:27.066678435+08:00,"k8s pod-cpu fullload  --names=ts-admin-route-service-77cd6cf987-8hh2p,ts-admin-route-service-77cd6cf987-nndq4 --namespace=default --kubeconfig=/root/.kube/config"
569742085cf04f72,chaosblade,10.176.122.154,svc-cpu-full,"ts-auth-service-557dfdd4bf-5zbxq,ts-auth-service-557dfdd4bf-9wtrv",Destroyed,2022-12-06T13:30:01.263573036+08:00,2022-12-06T13:35:43.612434231+08:00,2022-12-06T13:30:01.263573036+08:00_2022-12-06T13:35:43.612434231+08:00,"k8s pod-cpu fullload  --namespace=default --kubeconfig=/root/.kube/config --names=ts-auth-service-557dfdd4bf-5zbxq,ts-auth-service-557dfdd4bf-9wtrv"
1359afe83e1e5a6c,chaosblade,10.176.122.154,svc-cpu-full,"ts-consign-price-service-c5f7dc849-6xw8v,ts-consign-price-service-c5f7dc849-8f8t2",Destroyed,2022-12-06T13:40:01.270694016+08:00,2022-12-06T13:45:27.059780197+08:00,2022-12-06T13:40:01.270694016+08:00_2022-12-06T13:45:27.059780197+08:00,"k8s pod-cpu fullload  --namespace=default --names=ts-consign-price-service-c5f7dc849-6xw8v,ts-consign-price-service-c5f7dc849-8f8t2 --kubeconfig=/root/.kube/config"
9d40b924c7089556,chaosblade,10.176.122.154,svc-cpu-full,"ts-food-service-57ff7645dc-p7mdm,ts-food-service-57ff7645dc-sfzfk",Destroyed,2022-12-06T13:50:01.191451981+08:00,2022-12-06T13:55:31.074390041+08:00,2022-12-06T13:50:01.191451981+08:00_2022-12-06T13:55:31.074390041+08:00,"k8s pod-cpu fullload  --namespace=default --names=ts-food-service-57ff7645dc-p7mdm,ts-food-service-57ff7645dc-sfzfk --kubeconfig=/root/.kube/config"
2cb0c1f326c350f2,chaosblade,10.176.122.154,svc-cpu-full,"ts-payment-service-5fb5487dd5-6z55t,ts-payment-service-5fb5487dd5-s785d",Destroyed,2022-12-06T14:00:01.133192189+08:00,2022-12-06T14:05:31.106130649+08:00,2022-12-06T14:00:01.133192189+08:00_2022-12-06T14:05:31.106130649+08:00,"k8s pod-cpu fullload  --namespace=default --names=ts-payment-service-5fb5487dd5-6z55t,ts-payment-service-5fb5487dd5-s785d --kubeconfig=/root/.kube/config"
9ea3a5cefad5d258,chaosblade,10.176.122.154,svc-cpu-full,"ts-rebook-service-7d69b45f79-b42pk,ts-rebook-service-7d69b45f79-ws9d6",Destroyed,2022-12-06T14:10:01.315707217+08:00,2022-12-06T14:15:27.077708817+08:00,2022-12-06T14:10:01.315707217+08:00_2022-12-06T14:15:27.077708817+08:00,"k8s pod-cpu fullload  --namespace=default --kubeconfig=/root/.kube/config --names=ts-rebook-service-7d69b45f79-b42pk,ts-rebook-service-7d69b45f79-ws9d6"
6e316edee4340639,chaosblade,10.176.122.154,svc-cpu-full,"ts-security-service-677c5578f7-bdjmg,ts-security-service-677c5578f7-qq7t2",Destroyed,2022-12-06T14:20:01.290917644+08:00,2022-12-06T14:25:28.080120912+08:00,2022-12-06T14:20:01.290917644+08:00_2022-12-06T14:25:28.080120912+08:00,"k8s pod-cpu fullload  --kubeconfig=/root/.kube/config --names=ts-security-service-677c5578f7-bdjmg,ts-security-service-677c5578f7-qq7t2 --namespace=default"
a9b35b3e94ffcc0c,chaosblade,10.176.122.154,svc-cpu-full,"ts-travel-plan-service-d45b64468-dlvx2,ts-travel-plan-service-d45b64468-ws5zp",Destroyed,2022-12-06T14:30:01.25471621+08:00,2022-12-06T14:35:30.063963457+08:00,2022-12-06T14:30:01.25471621+08:00_2022-12-06T14:35:30.063963457+08:00,"k8s pod-cpu fullload  --names=ts-travel-plan-service-d45b64468-dlvx2,ts-travel-plan-service-d45b64468-ws5zp --kubeconfig=/root/.kube/config --namespace=default"
ff67310723f74ec1,chaosblade,10.176.122.154,svc-cpu-full,"ts-verification-code-service-74447dff85-5dp76,ts-verification-code-service-74447dff85-kg2rs",Destroyed,2022-12-06T14:40:01.199499389+08:00,2022-12-06T14:45:32.06895437+08:00,2022-12-06T14:40:01.199499389+08:00_2022-12-06T14:45:32.06895437+08:00,"k8s pod-cpu fullload  --kubeconfig=/root/.kube/config --names=ts-verification-code-service-74447dff85-5dp76,ts-verification-code-service-74447dff85-kg2rs --namespace=default"
3d2725f1ed64780f,chaosblade,10.176.122.154,svc-cpu-full,"ts-inside-payment-service-59c4bc8bb7-lchll,ts-inside-payment-service-59c4bc8bb7-nd688",Destroyed,2022-12-06T14:50:01.276571261+08:00,2022-12-06T14:55:31.071975573+08:00,2022-12-06T14:50:01.276571261+08:00_2022-12-06T14:55:31.071975573+08:00,"k8s pod-cpu fullload  --kubeconfig=/root/.kube/config --namespace=default --names=ts-inside-payment-service-59c4bc8bb7-lchll,ts-inside-payment-service-59c4bc8bb7-nd688"
5f7e5d6d14fb6cb3,chaosblade,10.176.122.154,svc-cpu-full,"ts-preserve-other-service-58bb58c679-cx58d,ts-preserve-other-service-58bb58c679-v6j67",Destroyed,2022-12-06T15:00:01.135941299+08:00,2022-12-06T15:05:29.043160005+08:00,2022-12-06T15:00:01.135941299+08:00_2022-12-06T15:05:29.043160005+08:00,"k8s pod-cpu fullload  --kubeconfig=/root/.kube/config --names=ts-preserve-other-service-58bb58c679-cx58d,ts-preserve-other-service-58bb58c679-v6j67 --namespace=default"
32bd4df0a74f3e7b,chaosblade,10.176.122.154,svc-cpu-full,"ts-route-plan-service-7bc6d9959f-8lmxn,ts-route-plan-service-7bc6d9959f-spkcz",Destroyed,2022-12-06T15:10:01.267904895+08:00,2022-12-06T15:15:29.038859804+08:00,2022-12-06T15:10:01.267904895+08:00_2022-12-06T15:15:29.038859804+08:00,"k8s pod-cpu fullload  --namespace=default --kubeconfig=/root/.kube/config --names=ts-route-plan-service-7bc6d9959f-8lmxn,ts-route-plan-service-7bc6d9959f-spkcz"
