st_time,ed_time,fault_type,root_cause,filename
2023-02-28T00:15:05,2023-02-28T00:21:00,pod-pod-network-delay,ts-seat-service-bd95445c9-6vg44 ts-order-service-5c8b698d7b-ftrm4,2023-02-28T00:15:05_2023-02-28T00:21:00
2023-02-28T00:30:04,2023-02-28T00:36:00,pod-pod-network-delay,ts-preserve-service-56548b8fd4-9hhqg ts-seat-service-bd95445c9-6vg44,2023-02-28T00:30:04_2023-02-28T00:36:00
2023-02-28T00:45:05,2023-02-28T00:51:00,pod-pod-network-delay,ts-basic-service-dc47b9966-gnqxl ts-route-service-cd8474f97-trz2k,2023-02-28T00:45:05_2023-02-28T00:51:00
2023-02-28T01:00:04,2023-02-28T01:06:00,pod-pod-network-delay,ts-basic-service-dc47b9966-gnqxl ts-train-service-59d7f678c7-84qqd,2023-02-28T01:00:04_2023-02-28T01:06:00
2023-02-28T01:15:04,2023-02-28T01:21:00,pod-pod-network-delay,ts-preserve-service-56548b8fd4-9hhqg ts-order-service-5c8b698d7b-ftrm4,2023-02-28T01:15:04_2023-02-28T01:21:00
2023-02-28T01:30:05,2023-02-28T01:36:00,pod-pod-network-delay,ts-execute-service-74b9955ddc-c7nq4 ts-order-other-service-5b5666cd96-f86gp,2023-02-28T01:30:05_2023-02-28T01:36:00
2023-02-28T01:45:04,2023-02-28T01:51:00,pod-pod-network-delay,ts-admin-basic-info-service-595db5b9cf-4jdnl ts-station-service-666c97f68d-6gdkx,2023-02-28T01:45:04_2023-02-28T01:51:00
2023-02-28T02:00:04,2023-02-28T02:06:00,pod-pod-network-delay,ts-rebook-service-7d69b45f79-5s2ld ts-travel-service-86bc99b94f-f7scx,2023-02-28T02:00:04_2023-02-28T02:06:00
2023-02-28T02:15:04,2023-02-28T02:21:00,pod-pod-network-delay,ts-preserve-other-service-58bb58c679-56fcb ts-basic-service-dc47b9966-gnqxl,2023-02-28T02:15:04_2023-02-28T02:21:00
2023-02-28T02:30:04,2023-02-28T02:36:00,pod-pod-network-delay,ts-preserve-service-56548b8fd4-9hhqg ts-contacts-service-7586d57c67-hcrgz,2023-02-28T02:30:04_2023-02-28T02:36:00
2023-02-28T02:45:05,2023-02-28T02:51:00,pod-pod-network-delay,ts-cancel-service-646644ddf4-88gxj ts-order-other-service-5b5666cd96-f86gp,2023-02-28T02:45:05_2023-02-28T02:51:00
2023-02-28T03:00:05,2023-02-28T03:06:00,pod-pod-network-delay,ts-admin-travel-service-d5c4d76b4-btjqc ts-route-service-cd8474f97-trz2k,2023-02-28T03:00:05_2023-02-28T03:06:00
2023-02-28T03:15:05,2023-02-28T03:21:00,pod-pod-network-delay,ts-admin-user-service-57fbb896c4-7c5db ts-user-service-5d65df69b-jpvkw,2023-02-28T03:15:05_2023-02-28T03:21:00
2023-02-28T03:30:04,2023-02-28T03:36:00,pod-pod-network-delay,ts-preserve-other-service-58bb58c679-56fcb ts-security-service-677c5578f7-5sxtl,2023-02-28T03:30:04_2023-02-28T03:36:00
2023-02-28T03:45:04,2023-02-28T03:51:00,pod-pod-network-delay,ts-preserve-other-service-58bb58c679-56fcb ts-travel2-service-686c895647-w7vdc,2023-02-28T03:45:04_2023-02-28T03:51:00
2023-02-28T04:00:05,2023-02-28T04:06:00,svc-svc-network-delay,"ts-rebook-service(ts-rebook-service-7d69b45f79-5s2ld,ts-rebook-service-7d69b45f79-94dzp) ts-seat-service(ts-seat-service-bd95445c9-6vg44,ts-seat-service-bd95445c9-nlwq8)",2023-02-28T04:00:05_2023-02-28T04:06:00
2023-02-28T04:15:05,2023-02-28T04:21:00,svc-svc-network-delay,"ts-preserve-service(ts-preserve-service-56548b8fd4-9hhqg,ts-preserve-service-56548b8fd4-wpbk7) ts-security-service(ts-security-service-677c5578f7-5sxtl,ts-security-service-677c5578f7-9mhrf,ts-security-service-677c5578f7-k5wzk,ts-security-service-677c5578f7-v4l77)",2023-02-28T04:15:05_2023-02-28T04:21:00
2023-02-28T04:30:05,2023-02-28T04:36:00,svc-svc-network-delay,"ts-admin-route-service(ts-admin-route-service-77cd6cf987-9mwsv,ts-admin-route-service-77cd6cf987-nh64d) ts-station-service(ts-station-service-666c97f68d-6gdkx,ts-station-service-666c97f68d-gqv5q,ts-station-service-666c97f68d-z8768)",2023-02-28T04:30:05_2023-02-28T04:36:00
2023-02-28T04:45:04,2023-02-28T04:51:00,svc-svc-network-delay,"ts-preserve-service(ts-preserve-service-56548b8fd4-9hhqg,ts-preserve-service-56548b8fd4-wpbk7) ts-user-service(ts-user-service-5d65df69b-jpvkw,ts-user-service-5d65df69b-x7qhl,ts-user-service-5d65df69b-zhvf2)",2023-02-28T04:45:04_2023-02-28T04:51:00
2023-02-28T05:00:05,2023-02-28T05:06:00,svc-svc-network-delay,"ts-basic-service(ts-basic-service-dc47b9966-gnqxl,ts-basic-service-dc47b9966-pfx6l) ts-station-service(ts-station-service-666c97f68d-6gdkx,ts-station-service-666c97f68d-gqv5q,ts-station-service-666c97f68d-z8768)",2023-02-28T05:00:05_2023-02-28T05:06:00
