st_time,ed_time,fault_type,root_cause,filename
2023-04-17T16:30:03,2023-04-17T16:35:00,jvm-cpu-full,ts-admin-user-service-57fbb896c4-jl6f8,2023-04-17T16:30:03_2023-04-17T16:35:00
2023-04-17T16:44:03,2023-04-17T16:49:00,jvm-cpu-full,ts-user-service-5d65df69b-4xfgh,2023-04-17T16:44:03_2023-04-17T16:49:00
2023-04-17T16:58:03,2023-04-17T17:03:00,api-delay,ts-travel2-service-686c895647-kw79h travel2.controller.Travel2Controller queryInfo,2023-04-17T16:58:03_2023-04-17T17:03:00
2023-04-17T17:12:04,2023-04-17T17:17:00,svc-svc-network-delay,"ts-rebook-service(ts-rebook-service-7d69b45f79-62npw,ts-rebook-service-7d69b45f79-wfrn7) ts-order-service(ts-order-service-5c8b698d7b-c2n2p,ts-order-service-5c8b698d7b-dqdc2)",2023-04-17T17:12:04_2023-04-17T17:17:00
2023-04-17T17:26:05,2023-04-17T17:31:20,svc-cpu-full,"ts-user-service(ts-user-service-5d65df69b-4xfgh,ts-user-service-5d65df69b-nfbtb)",2023-04-17T17:26:05_2023-04-17T17:31:20
2023-04-17T17:40:01,2023-04-17T17:45:00,svc-http-request-delay,"ts-consign-price-service-c5f7dc849-rkjfl,ts-consign-price-service-c5f7dc849-wx549",2023-04-17T17:40:01_2023-04-17T17:45:00
2023-04-17T19:15:03,2023-04-17T19:25:00,jvm-cpu-full,ts-admin-user-service-57fbb896c4-jl6f8,2023-04-17T19:15:03_2023-04-17T19:25:00
2023-04-17T19:34:03,2023-04-17T19:44:00,jvm-cpu-full,ts-user-service-5d65df69b-4xfgh,2023-04-17T19:34:03_2023-04-17T19:44:00
2023-04-17T19:53:03,2023-04-17T20:03:00,api-delay,ts-travel2-service-686c895647-kw79h travel2.controller.Travel2Controller queryInfo,2023-04-17T19:53:03_2023-04-17T20:03:00
2023-04-17T20:12:04,2023-04-17T20:22:00,svc-svc-network-delay,"ts-rebook-service(ts-rebook-service-7d69b45f79-62npw,ts-rebook-service-7d69b45f79-wfrn7) ts-order-service(ts-order-service-5c8b698d7b-c2n2p,ts-order-service-5c8b698d7b-dqdc2)",2023-04-17T20:12:04_2023-04-17T20:22:00
2023-04-17T20:31:05,2023-04-17T20:41:20,svc-cpu-full,"ts-user-service(ts-user-service-5d65df69b-4xfgh,ts-user-service-5d65df69b-nfbtb)",2023-04-17T20:31:05_2023-04-17T20:41:20
2023-04-17T20:50:00,2023-04-17T21:00:00,svc-http-request-delay,"ts-consign-price-service-c5f7dc849-rkjfl,ts-consign-price-service-c5f7dc849-wx549",2023-04-17T20:50:00_2023-04-17T21:00:00
2023-04-17T21:20:03,2023-04-17T21:35:00,jvm-cpu-full,ts-admin-user-service-57fbb896c4-jl6f8,2023-04-17T21:20:03_2023-04-17T21:35:00
2023-04-17T21:44:03,2023-04-17T21:59:00,jvm-cpu-full,ts-user-service-5d65df69b-4xfgh,2023-04-17T21:44:03_2023-04-17T21:59:00
2023-04-17T22:08:04,2023-04-17T22:23:00,api-delay,ts-travel2-service-686c895647-kw79h travel2.controller.Travel2Controller queryInfo,2023-04-17T22:08:04_2023-04-17T22:23:00
2023-04-17T22:32:04,2023-04-17T22:47:00,svc-svc-network-delay,"ts-rebook-service(ts-rebook-service-7d69b45f79-62npw,ts-rebook-service-7d69b45f79-wfrn7) ts-order-service(ts-order-service-5c8b698d7b-c2n2p,ts-order-service-5c8b698d7b-dqdc2)",2023-04-17T22:32:04_2023-04-17T22:47:00
2023-04-17T22:56:05,2023-04-17T23:11:20,svc-cpu-full,"ts-user-service(ts-user-service-5d65df69b-4xfgh,ts-user-service-5d65df69b-nfbtb)",2023-04-17T22:56:05_2023-04-17T23:11:20
2023-04-17T23:20:00,2023-04-17T23:35:01,svc-http-request-delay,"ts-consign-price-service-c5f7dc849-rkjfl,ts-consign-price-service-c5f7dc849-wx549",2023-04-17T23:20:00_2023-04-17T23:35:01
2023-04-18T00:40:03,2023-04-18T01:00:00,jvm-cpu-full,ts-admin-user-service-57fbb896c4-jl6f8,2023-04-18T00:40:03_2023-04-18T01:00:00
2023-04-18T01:09:03,2023-04-18T01:29:00,jvm-cpu-full,ts-user-service-5d65df69b-4xfgh,2023-04-18T01:09:03_2023-04-18T01:29:00
2023-04-18T01:38:04,2023-04-18T01:58:00,api-delay,ts-travel2-service-686c895647-kw79h travel2.controller.Travel2Controller queryInfo,2023-04-18T01:38:04_2023-04-18T01:58:00
2023-04-18T02:07:04,2023-04-18T02:27:00,svc-svc-network-delay,"ts-rebook-service(ts-rebook-service-7d69b45f79-62npw,ts-rebook-service-7d69b45f79-wfrn7) ts-order-service(ts-order-service-5c8b698d7b-c2n2p,ts-order-service-5c8b698d7b-dqdc2)",2023-04-18T02:07:04_2023-04-18T02:27:00
2023-04-18T02:36:05,2023-04-18T02:56:21,svc-cpu-full,"ts-user-service(ts-user-service-5d65df69b-4xfgh,ts-user-service-5d65df69b-nfbtb)",2023-04-18T02:36:05_2023-04-18T02:56:21
2023-04-18T03:05:00,2023-04-18T03:25:00,svc-http-request-delay,"ts-consign-price-service-c5f7dc849-rkjfl,ts-consign-price-service-c5f7dc849-wx549",2023-04-18T03:05:00_2023-04-18T03:25:00
2023-04-18T10:40:03,2023-04-18T11:05:00,jvm-cpu-full,ts-admin-user-service-57fbb896c4-jl6f8,2023-04-18T10:40:03_2023-04-18T11:05:00
2023-04-18T11:14:03,2023-04-18T11:39:00,jvm-cpu-full,ts-user-service-5d65df69b-4xfgh,2023-04-18T11:14:03_2023-04-18T11:39:00
2023-04-18T11:48:03,2023-04-18T12:13:00,api-delay,ts-travel2-service-686c895647-kw79h travel2.controller.Travel2Controller queryInfo,2023-04-18T11:48:03_2023-04-18T12:13:00
2023-04-18T12:22:04,2023-04-18T12:47:00,svc-svc-network-delay,"ts-rebook-service(ts-rebook-service-7d69b45f79-62npw,ts-rebook-service-7d69b45f79-wfrn7) ts-order-service(ts-order-service-5c8b698d7b-c2n2p,ts-order-service-5c8b698d7b-dqdc2)",2023-04-18T12:22:04_2023-04-18T12:47:00
2023-04-18T12:56:05,2023-04-18T13:21:20,svc-cpu-full,"ts-user-service(ts-user-service-5d65df69b-4xfgh,ts-user-service-5d65df69b-nfbtb)",2023-04-18T12:56:05_2023-04-18T13:21:20
2023-04-18T13:30:00,2023-04-18T13:55:00,svc-http-request-delay,"ts-consign-price-service-c5f7dc849-rkjfl,ts-consign-price-service-c5f7dc849-wx549",2023-04-18T13:30:00_2023-04-18T13:55:00
